mSec,Latitude,Longitude,Altitude,Speed,AccelX,AccelY,AccelZ,Soc1,Soc2,Soc3,BDat1,BDat2,BDat3
1288731356000,37.774515,-122.400844,-24.000000,51.000000,0.653777,-1.076007,-8.730643,0.987656,0.971107,0.897469,0.839952,0.855190,0.856784
1288731359000,37.774161,-122.400548,-22.000000,60.000000,0.000000,-1.757025,-11.836082,0.864895,0.904497,0.892570,0.860299,0.898619,0.922956
1288731362000,37.773791,-122.400173,-19.000000,66.000000,-0.503953,0.081722,-6.973618,0.969702,0.905692,0.974244,0.947029,0.978761,0.865158
1288731365000,37.773421,-122.399706,-16.000000,72.000000,0.040861,0.340509,-7.055340,0.909094,0.806249,0.904132,0.847254,0.837345,0.833626
1288731370000,37.772729,-122.398864,-12.000000,81.000000,-0.503953,-1.184970,-10.269742,0.837060,0.927020,0.948832,0.863106,0.997396,0.971431
1288731373000,37.772198,-122.398440,-11.000000,86.000000,0.299648,-0.108963,-10.691973,0.931731,0.874665,0.900779,0.891204,0.800949,0.931018
1288731376000,37.771565,-122.398199,-11.000000,90.000000,1.035146,-0.762739,-8.390134,0.866873,0.958703,0.916876,0.849322,0.902693,0.971779
1288731379000,37.770883,-122.398156,-9.000000,89.000000,0.572055,-0.653777,-10.691973,0.803286,0.981938,0.814831,0.814641,0.858489,0.942210
1288731384000,37.769789,-122.398016,-9.000000,88.000000,0.149824,-0.531194,-9.915613,0.805333,0.969409,0.820484,0.904405,0.988238,0.965765
1288731387000,37.769161,-122.397759,-9.000000,87.000000,-0.762739,-0.081722,-8.621680,0.894661,0.831344,0.827230,0.821202,0.981748,0.838952
1288731390000,37.768577,-122.397367,-9.000000,90.000000,-0.231546,1.566340,-8.049625,0.839613,0.820600,0.854027,0.893839,0.837778,0.911457
1288731393000,37.768035,-122.396820,-10.000000,468.000000,-0.149824,1.184970,-5.325556,0.819446,0.958202,0.886563,0.949840,0.986106,0.945757
1288731398000,37.767166,-122.395715,-11.000000,101.000000,-1.416516,1.307553,-8.580819,0.843373,0.822212,0.893718,0.833060,0.817681,0.889518
1288731401000,37.766624,-122.395039,-11.000000,102.000000,1.116868,0.108963,-11.032481,0.813954,0.982501,0.937473,0.852518,0.838230,0.976415
1288731404000,37.766055,-122.394390,-11.000000,101.000000,0.149824,0.762739,-7.627395,0.842444,0.821094,0.969313,0.836166,0.937246,0.885320
1288731407000,37.765433,-122.393854,-9.000000,98.000000,0.381370,0.422231,-8.308413,0.812241,0.805738,0.832769,0.832368,0.920391,0.916247
1288731412000,37.764339,-122.393317,-7.000000,85.000000,-0.531194,1.416516,-11.345750,0.979462,0.830870,0.994143,0.916005,0.853899,0.913119
1288731415000,37.763765,-122.393162,-6.000000,69.000000,-0.040861,1.416516,-8.580819,0.952440,0.850121,0.998275,0.925573,0.801619,0.804339
